,PMID,Publication_Title
0,34613865,Building a better antibody through the Fc: advances and challenges in harnessing antibody Fc effector functions for antiviral protection
1,35018376,Comprehensive antibody profiling of mRNA vaccination in children
2,35018387,Vaccines Elicit Highly Cross-Reactive Cellular Immunity to the SARS-CoV-2 Omicron Variant
