,PMID,Publication_Title
0,35258323,Characterization of immune responses in fully vaccinated individuals following breakthrough infection with the SARS-CoV-2 delta variant
1,35289637,Omicron variant Spike-specific antibody binding and Fc activity is preserved in recipients of mRNA or inactivated COVID-19 vaccines
2,35348368,mRNA-1273 and BNT162b2 COVID-19 vaccines elicit antibodies with differences in Fc-mediated effector functions
