,PMID,Publication_Title
0,35102312,Vaccines elicit highly conserved cellular immunity to SARS-CoV-2 Omicron
1,35129576,Durability of Anti-Spike Antibodies in Infants After Maternal COVID-19 Vaccination or Natural Infection
2,35262082,Immunological memory to Common Cold Coronaviruses assessed longitudinally over a three-year period
3,35291291,Broadly neutralizing anti-S2 antibodies protect against all three human betacoronaviruses that cause severe disease
4,35294809,Neutralization of the SARS-CoV-2 Omicron BA.1 and BA.2 Variants
