,PMID,Publication_Title
0,35040666,"Early non-neutralizing, afucosylated antibody responses are associated with COVID-19 severity"
1,35289114,A bacterial extracellular vesicle-based intranasal vaccine against SARS-CoV-2 protects against disease and elicits neutralizing antibodies to wild-type and Delta variants
