,PMID,Publication_Title
0,34952892,Generation of human long-lived plasma cells by developmentally regulated epigenetic imprinting
1,34424479,124 I-Iodo-DPA-713 Positron Emission Tomography in a Hamster Model of SARS-CoV-2 Infection
2,34188786,Extracellular vesicles carry SARS-CoV-2 spike protein and serve as decoys for neutralizing antibodies
