,PMID,Publication_Title
0,35132398,A combination of two human neutralizing antibodies prevents SARS-CoV-2 infection in cynomolgus macaques
1,35143473,SARS-CoV-2 antibodies protect against reinfection for at least 6 months in a multicentre seroepidemiological workplace cohort
2,35194605,A model of persistent post SARS-CoV-2 induced lung disease for target identification and testing of therapeutic strategies
3,35194616,Durability and cross-reactivity of SARS-CoV-2 mRNA vaccine in adolescent children
4,35197000,Seasonal COVID-19 surge related hospital volumes and case fatality rates
5,35210622,Fighting the SARS-CoV-2 pandemic requires a global approach to understanding the heterogeneity of vaccine responses
