,USER_DEFINED_ID,REAGENT_ACCESSION,name,description,manufacturer,catalog_number
98,PMID34759001_reagentID-01,ESR30190,Receptor Binding Domain (RBD) | S1 | Nucleocapsid,FDA EUA,components from multiple manufacturers,
99,PMID34759001_reagentID-02,ESR30191,Receptor Binding Domain (RBD) | S1 | Nucleocapsid,FDA EUA,components from multiple manufacturers,
100,PMID34759001_reagentID-03,ESR30192,Receptor Binding Domain (RBD) | S1 | Nucleocapsid,FDA EUA,components from multiple manufacturers,
101,PMID34759001_reagentID-04,ESR30193,Receptor Binding Domain (RBD) | S1 | Nucleocapsid,FDA EUA,components from multiple manufacturers,
102,PMID33065030_reagents_not_curated,ESR30194,Reagents not curated,Reagents not curated for this experiment,na,na
103,PMID34452006_reagentID-01,ESR30195,Full Length Spike Trimer,,,
104,PMID34452006_reagentID-02,ESR30196,Full Length Spike Trimer,,,
105,PMID34452006_reagentID-03,ESR30197,Full Length Spike Trimer | Receptor Binding Domain (RBD),,,
106,PMID34452006_reagentID-04,ESR30198,Full Length Spike Trimer | Receptor Binding Domain (RBD),,,
107,PMID35132398_reagents_not_curated,ESR30199,Reagents not curated,Reagents not curated for this experiment,na,na
108,PMID33142304_reagentID-01,ESR30200,Full Length Spike Trimer | Receptor Binding Domain (RBD),FDA EUA,components from multiple manufacturers,
109,PMID33169014_reagents_not_curated,ESR30201,Reagents not curated,Reagents not curated for this experiment,na,na
110,PMID33169014_reagentID-02,ESR30202,Receptor Binding Domain (RBD) | Full Length Spike Trimer | ,,components from multiple manufacturers,
111,PMID33727353_reagents_not_curated,ESR30210,Reagents not curated,Reagents not curated for this experiment,na,na
112,PMID33035201_reagents_not_curated,ESR30211,Reagents not curated,Reagents not curated for this experiment,na,na
113,PMID33035201_reagentID-06,ESR30212,Nucleocapsid,,components from multiple manufacturers,
114,PMID33571162_reagentID-01,ESR30206,Receptor Binding Domain (RBD),,components from multiple manufacturers,
115,PMID33571162_reagentID-02,ESR30207,Full Length Spike Trimer,,components from multiple manufacturers,
116,PMID33571162_reagentID-03,ESR30208,Full Length Spike Trimer,,components from multiple manufacturers,
117,PMID33602725_reagents_not_curated,ESR30209,Reagents not curated,Reagents not curated for this experiment,na,na
118,PMID33893169_reagentID-01,ESR30213,Receptor Binding Domain (RBD),,Thermo Fisher,
119,PMID33893169_reagentID-02,ESR30214,Full Length Spike Trimer | Nucleocapsid | N-terminal Domain (NTD) | Receptor Binding Domain (RBD),,Meso Scale Discovery,
120,PMID33893169_reagents_not_curated,ESR30215,Reagents not curated,Reagents not curated for this experiment,na,na
121,PMID33893169_reagentID-04,ESR30216,Full Length Spike Trimer | Nucleocapsid | Other,,components from multiple manufacturers,
122,PMID34230917_reagentID-01,ESR30217,Receptor Binding Domain (RBD) | Full Length Spike Trimer,,components from multiple manufacturers,
123,PMID34230917_reagentID-02,ESR30218,Receptor Binding Domain (RBD) | Full Length Spike Trimer,,components from multiple manufacturers,
