,Column Name,User Defined ID,Name,Description,Manufacturer,Catalog Number,Weblink,Contact
78,,PMID35289637_reagentID-02,Receptor Binding Domain (RBD),n/a,BioLegend,n/a,,
79,,PMID33893169_reagentID-01,Receptor Binding Domain (RBD),n/a,Thermo Fisher,n/a,,
80,,PMID33893169_reagentID-02,Full Length Spike Trimer | Nucleocapsid | N-terminal Domain (NTD) | Receptor Binding Domain (RBD),n/a,Meso Scale Discovery,n/a,,
81,,PMID33893169_reagents_not_curated,Reagents not curated,Reagents not curated for this experiment,na,na,,
82,,PMID33893169_reagentID-04,Full Length Spike Trimer | Nucleocapsid | Other,n/a,components from multiple manufacturers,n/a,,
83,,PMID33993265_reagentID-01,n/a  ,n/a,components from multiple manufacturers,n/a,,
84,,PMID33993265_reagentID-02,n/a  ,n/a,components from multiple manufacturers,n/a,,
85,,PMID33993265_reagentID-03,Full Length Spike Trimer | Receptor Binding Domain (RBD),n/a,components from multiple manufacturers,n/a,,
86,,PMID33993265_reagentID-04,Full Length Spike Trimer | Receptor Binding Domain (RBD),n/a,components from multiple manufacturers,n/a,,
87,,PMID33993265_reagents_not_curated,Reagents not curated,Reagents not curated for this experiment,na,na,,
88,,PMID35143473_reagents_not_curated,Reagents not curated,Reagents not curated for this experiment,na,na,,
89,,PMID33408181_reagents_not_curated,Reagents not curated,Reagents not curated for this experiment,na,na,,
90,,PMID33408181_reagentID-02,Receptor Binding Domain (RBD),n/a,components from multiple manufacturers,n/a,,
91,,PMID33408181_reagentID-03,Receptor Binding Domain (RBD) | Full Length Spike Trimer,n/a,components from multiple manufacturers,n/a,,
92,,PMID33408181_reagentID-04,Receptor Binding Domain (RBD) | Full Length Spike Trimer,n/a,components from multiple manufacturers,n/a,,
93,,PMID34794169_reagents_not_curated,Reagents not curated,Reagents not curated for this experiment,na,na,,
94,,PMID34794169_reagentID-02,Receptor Binding Domain (RBD),n/a,components from multiple manufacturers,n/a,,
95,,PMID34794169_reagentID-03,Full Length Spike Trimer,n/a,components from multiple manufacturers,n/a,,
96,,PMID34794169_reagentID-04,Full Length Spike Trimer,n/a,components from multiple manufacturers,n/a,,
97,,PMID34794169_reagentID-05,S1 | S2,n/a,components from multiple manufacturers,n/a,,
98,,PMID34835131_reagentID-01,n/a  ,n/a,components from multiple manufacturers,n/a,,
99,,PMID34835131_reagentID-02,Full Length Spike Trimer | Nucleocapsid | Receptor Binding Domain (RBD) | S2,n/a,components from multiple manufacturers,n/a,,
100,,PMID34835131_reagentID-03,Full Length Spike Trimer | Nucleocapsid | Receptor Binding Domain (RBD) | S2,n/a,components from multiple manufacturers,n/a,,
101,,PMID34523968_reagentID-01,Receptor Binding Domain (RBD) | Full Length Spike Trimer,n/a,components from multiple manufacturers,n/a,,
102,,PMID34523968_reagents_not_curated,Reagents not curated,Reagents not curated for this experiment,na,na,,
103,,PMID33035201_reagents_not_curated,Reagents not curated,Reagents not curated for this experiment,na,na,,
104,,PMID33035201_reagentID-06,Nucleocapsid,n/a,components from multiple manufacturers,n/a,,
105,,PMID34130883_reagentID-01,n/a  ,n/a,components from multiple manufacturers,n/a,,
106,,PMID33065030_reagents_not_curated,Reagents not curated,Reagents not curated for this experiment,na,na,,
107,,PMID35013325_reagentID-01,Receptor Binding Domain (RBD) | Full Length Spike Trimer,n/a,n/a,n/a,,
108,,PMID35013325_reagentID-02,Full Length Spike Trimer,n/a,n/a,n/a,,
109,,PMID33276369_reagentID-01,Receptor Binding Domain (RBD) | Full Length Spike Trimer,n/a,n/a,n/a,,
110,,PMID33276369_reagentID-02,n/a  ,n/a,n/a,n/a,,
111,,PMID33276369_reagentID-03,n/a  ,n/a,n/a,n/a,,
112,,PMID34696403_reagentID-01,Receptor Binding Domain (RBD) | S2,FDA EUA,n/a,n/a,,
113,,PMID34696403_reagentID-02,n/a  ,n/a,n/a,n/a,,
114,,PMID34696403_reagentID-03,n/a  ,n/a,n/a,n/a,,
115,,PMID33571162_reagentID-01,Receptor Binding Domain (RBD),n/a,components from multiple manufacturers,n/a,,
116,,PMID33571162_reagentID-02,Full Length Spike Trimer,n/a,components from multiple manufacturers,n/a,,
117,,PMID33571162_reagentID-03,Full Length Spike Trimer,n/a,components from multiple manufacturers,n/a,,
118,,PMID34921308_reagentID-01,n/a  ,n/a,components from multiple manufacturers,n/a,,
119,,PMID34921308_reagentID-02,n/a  ,n/a,components from multiple manufacturers,n/a,,
120,,PMID34260834_reagentID-01,Receptor Binding Domain (RBD),n/a,n/a,n/a,,
121,,PMID34260834_reagentID-02,Receptor Binding Domain (RBD),n/a,n/a,n/a,,
122,,PMID34260834_reagentID-03,Receptor Binding Domain (RBD),n/a,n/a,n/a,,
123,,PMID34353890_reagents_not_curated,Reagents not curated,Reagents not curated for this experiment,na,na,,
124,,PMID34937699_reagents_not_curated,Reagents not curated,Reagents not curated for this experiment,na,na,,
125,,PMID35129576_reagentID-01,Full Length Spike Trimer,n/a,n/a,n/a,,
126,,PMID35129576_reagentID-02,Full Length Spike Trimer,n/a,n/a,n/a,,
127,,PMID34095338_reagentID-01,Receptor Binding Domain (RBD),n/a,n/a,n/a,,
128,,PMID34095338_reagents_not_curated,Reagents not curated,Reagents not curated for this experiment,na,na,,
129,,PMID33743211_reagents_not_curated,Reagents not curated,Reagents not curated for this experiment,na,na,,
130,,PMID35132398_reagents_not_curated,Reagents not curated,Reagents not curated for this experiment,na,na,,
131,,PMID33961839_reagents_not_curated,Reagents not curated,Reagents not curated for this experiment,na,na,,
132,,PMID33961839_reagentID-02,Full Length Spike Trimer,n/a,components from multiple manufacturers,n/a,,
133,,PMID33961839_reagentID-04,Nucleocapsid,n/a,components from multiple manufacturers,n/a,,
134,,PMID34145263_reagentID-01,n/a  ,n/a,components from multiple manufacturers,n/a,,
135,,PMID34145263_reagentID-02,n/a  ,n/a,components from multiple manufacturers,n/a,,
136,,PMID34145263_reagentID-03,Full Length Spike Trimer | Receptor Binding Domain (RBD) | | N-terminal Domain (NTD),n/a,components from multiple manufacturers,n/a,,
137,,PMID34145263_reagentID-04,Full Length Spike Trimer | Receptor Binding Domain (RBD) | | N-terminal Domain (NTD),n/a,components from multiple manufacturers,n/a,,
138,,PMID34145263_reagentID-05,Full Length Spike Trimer | Receptor Binding Domain (RBD) | | N-terminal Domain (NTD),n/a,components from multiple manufacturers,n/a,,
139,,PMID34145263_reagentID-06,Full Length Spike Trimer | Receptor Binding Domain (RBD) | | N-terminal Domain (NTD),n/a,components from multiple manufacturers,n/a,,
140,,PMID34652783_reagentID-01,Receptor Binding Domain (RBD) | Full Length Spike Trimer,n/a,Milliplex®,32161000,,
141,,PMID34652783_reagentID-02,Receptor Binding Domain (RBD) | Full Length Spike Trimer,n/a,Milliplex®,32161000,,
142,,PMID34652783_reagents_not_curated,Reagents not curated,Reagents not curated for this experiment,na,na,,
143,,PMID34001652_reagentID-01,nucleocapsid | S1 | Receptor Binding Domain (RBD) | N-terminal Domain (NTD),Research Use Only,n/a,n/a,,
144,,PMID34001652_reagentID-02,nucleocapsid | S1 | Receptor Binding Domain (RBD) | N-terminal Domain (NTD),Research Use Only,n/a,n/a,,
145,,PMID33169014_reagents_not_curated,Reagents not curated,Reagents not curated for this experiment,na,na,,
146,,PMID33169014_reagentID-02,Receptor Binding Domain (RBD) | Full Length Spike Trimer | ,n/a,components from multiple manufacturers,n/a,,
147,,PMID33727353_reagents_not_curated,Reagents not curated,Reagents not curated for this experiment,na,na,,
