"date","total_count","lineage_count","lineage","prevalence","prevalence_rolling","term"
"2020-07-02",0,0,"other",0,0,NA
"2020-07-03",0,0,"other",0,0,NA
"2020-07-04",0,0,"other",0,0,NA
"2020-07-05",0,0,"other",0,0,NA
"2020-07-06",0,0,"other",0,0,NA
"2020-07-07",0,0,"other",0,0,NA
"2020-07-08",0,0,"other",0,0,NA
"2020-07-09",1,1,"other",1,1,NA
"2020-07-10",0,0,"other",0,1,NA
"2020-07-11",0,0,"other",0,1,NA
"2020-07-12",0,0,"other",0,1,NA
"2020-07-13",0,0,"other",0,1,NA
"2020-07-14",0,0,"other",0,1,NA
"2020-07-15",0,0,"other",0,1,NA
"2020-07-16",0,0,"other",0,0,NA
"2020-07-17",1,1,"other",1,1,NA
"2020-07-18",0,0,"other",0,1,NA
"2020-07-19",0,0,"other",0,1,NA
"2020-07-20",0,0,"other",0,1,NA
"2020-07-21",2,2,"other",1,1,NA
"2020-07-22",0,0,"other",0,1,NA
"2020-07-23",1,1,"other",1,1,NA
"2020-07-24",0,0,"other",0,1,NA
"2020-07-25",0,0,"other",0,1,NA
"2020-07-26",0,0,"other",0,1,NA
"2020-07-27",0,0,"other",0,1,NA
"2020-07-28",0,0,"other",0,1,NA
"2020-07-29",0,0,"other",0,1,NA
"2020-07-30",2,2,"other",1,1,NA
"2020-07-31",0,0,"other",0,1,NA
"2020-08-01",0,0,"other",0,1,NA
"2020-08-02",0,0,"other",0,1,NA
"2020-08-03",0,0,"other",0,1,NA
"2020-08-04",0,0,"other",0,1,NA
"2020-08-05",0,0,"other",0,1,NA
"2020-08-06",0,0,"other",0,0,NA
"2020-08-07",0,0,"other",0,0,NA
"2020-08-08",0,0,"other",0,0,NA
"2020-08-09",0,0,"other",0,0,NA
"2020-08-10",0,0,"other",0,0,NA
"2020-08-11",0,0,"other",0,0,NA
"2020-08-12",0,0,"other",0,0,NA
"2020-08-13",0,0,"other",0,0,NA
"2020-08-14",0,0,"other",0,0,NA
"2020-08-15",0,0,"other",0,0,NA
"2020-08-16",0,0,"other",0,0,NA
"2020-08-17",0,0,"other",0,0,NA
"2020-08-18",0,0,"other",0,0,NA
"2020-08-19",0,0,"other",0,0,NA
"2020-08-20",1,1,"other",1,1,NA
"2020-08-21",0,0,"other",0,1,NA
"2020-08-22",0,0,"other",0,1,NA
"2020-08-23",0,0,"other",0,1,NA
"2020-08-24",0,0,"other",0,1,NA
"2020-08-25",0,0,"other",0,1,NA
"2020-08-26",0,0,"other",0,1,NA
"2020-08-27",0,0,"other",0,0,NA
"2020-08-28",0,0,"other",0,0,NA
"2020-08-29",0,0,"other",0,0,NA
"2020-08-30",0,0,"other",0,0,NA
"2020-08-31",1,1,"other",1,1,NA
"2020-09-01",1,1,"other",1,1,NA
"2020-09-02",0,0,"other",0,1,NA
"2020-09-03",0,0,"other",0,1,NA
"2020-09-04",0,0,"other",0,1,NA
"2020-09-05",0,0,"other",0,1,NA
"2020-09-06",0,0,"other",0,1,NA
"2020-09-07",1,1,"other",1,1,NA
"2020-09-08",3,3,"other",1,1,NA
"2020-09-09",0,0,"other",0,1,NA
"2020-09-10",0,0,"other",0,1,NA
"2020-09-11",13,13,"other",1,1,NA
"2020-09-12",0,0,"other",0,1,NA
"2020-09-13",0,0,"other",0,1,NA
"2020-09-14",1,1,"other",1,1,NA
"2020-09-15",0,0,"other",0,1,NA
"2020-09-16",0,0,"other",0,1,NA
"2020-09-17",0,0,"other",0,1,NA
"2020-09-18",0,0,"other",0,1,NA
"2020-09-19",0,0,"other",0,1,NA
"2020-09-20",0,0,"other",0,1,NA
"2020-09-21",0,0,"other",0,0,NA
"2020-09-22",0,0,"other",0,0,NA
"2020-09-23",0,0,"other",0,0,NA
"2020-09-24",0,0,"other",0,0,NA
"2020-09-25",0,0,"other",0,0,NA
"2020-09-26",0,0,"other",0,0,NA
"2020-09-27",0,0,"other",0,0,NA
"2020-09-28",0,0,"other",0,0,NA
"2020-09-29",1,1,"b.1.517",1,1,NA
"2020-09-29",0,0,"other",0,0,NA
"2020-09-30",0,0,"b.1.517",0,1,NA
"2020-09-30",0,0,"other",0,0,NA
"2020-10-01",0,0,"b.1.517",0,0.7,NA
"2020-10-01",1,1,"other",1,0.3,NA
"2020-10-02",0,0,"b.1.517",0,0.466666666666667,NA
"2020-10-02",1,1,"other",1,0.533333333333333,NA
"2020-10-03",0,0,"b.1.517",0,0.411764705882353,NA
"2020-10-03",0,0,"other",0,0.588235294117647,NA
"2020-10-04",0,0,"b.1.517",0,0.368421052631579,NA
"2020-10-04",0,0,"other",0,0.631578947368421,NA
"2020-10-05",0,0,"b.1.517",0,0.333333333333333,NA
"2020-10-05",0,0,"other",0,0.666666666666667,NA
"2020-10-06",3,1,"b.1.517",0.333333333333333,0.2,NA
"2020-10-06",3,2,"other",0.666666666666667,0.8,NA
"2020-10-07",0,0,"b.1.517",0,0.125,NA
"2020-10-07",3,3,"other",1,0.875,NA
"2020-10-08",0,0,"b.1.517",0,0.142857142857143,NA
"2020-10-08",0,0,"other",0,0.857142857142857,NA
"2020-10-09",0,0,"b.1.517",0,0.166666666666667,NA
"2020-10-09",0,0,"other",0,0.833333333333333,NA
"2020-10-10",0,0,"b.1.517",0,0.166666666666667,NA
"2020-10-10",0,0,"other",0,0.833333333333333,NA
"2020-10-11",0,0,"b.1.517",0,0.166666666666667,NA
"2020-10-11",0,0,"other",0,0.833333333333333,NA
"2020-10-12",1,1,"b.1.2",1,0.538461538461538,NA
"2020-10-12",0,0,"b.1.517",0,0.0769230769230769,NA
"2020-10-12",0,0,"other",0,0.384615384615385,NA
"2020-10-13",3,1,"b.1.2",0.333333333333333,0.583333333333333,NA
"2020-10-13",0,0,"b.1.517",0,0,NA
"2020-10-13",3,2,"other",0.666666666666667,0.416666666666667,NA
"2020-10-14",0,0,"b.1.2",0,0.7,NA
"2020-10-14",0,0,"b.1.517",0,0,NA
"2020-10-14",0,0,"other",0,0.3,NA
"2020-10-15",0,0,"b.1.2",0,0.636363636363636,NA
"2020-10-15",0,0,"b.1.517",0,0,NA
"2020-10-15",0,0,"other",0,0.363636363636364,NA
"2020-10-16",0,0,"b.1.2",0,0.23728813559322,NA
"2020-10-16",1,1,"b.1.375",1,0.593220338983051,NA
"2020-10-16",0,0,"b.1.517",0,0,NA
"2020-10-16",0,0,"other",0,0.169491525423729,NA
"2020-10-17",0,0,"b.1.2",0,0.297872340425532,NA
"2020-10-17",0,0,"b.1.375",0,0.446808510638298,NA
"2020-10-17",0,0,"b.1.517",0,0,NA
"2020-10-17",0,0,"other",0,0.25531914893617,NA
"2020-10-18",0,0,"b.1.2",0,0.315789473684211,NA
"2020-10-18",0,0,"b.1.375",0,0.368421052631579,NA
"2020-10-18",0,0,"b.1.517",0,0,NA
"2020-10-18",0,0,"other",0,0.315789473684211,NA
"2020-10-19",0,0,"b.1.2",0,0.210526315789474,NA
"2020-10-19",0,0,"b.1.375",0,0.368421052631579,NA
"2020-10-19",0,0,"b.1.517",0,0,NA
"2020-10-19",0,0,"other",0,0.421052631578947,NA
"2020-10-20",0,0,"b.1.2",0,0,NA
"2020-10-20",2,1,"b.1.375",0.5,0.736842105263158,NA
"2020-10-20",0,0,"b.1.517",0,0,NA
"2020-10-20",2,1,"other",0.5,0.263157894736842,NA
"2020-10-21",1,1,"b.1.2",1,0.230769230769231,NA
"2020-10-21",0,0,"b.1.375",0,0.538461538461538,NA
"2020-10-21",0,0,"b.1.517",0,0,NA
"2020-10-21",0,0,"other",0,0.230769230769231,NA
"2020-10-22",0,0,"b.1.2",0,0.25,NA
"2020-10-22",0,0,"b.1.375",0,0.5,NA
"2020-10-22",0,0,"b.1.517",0,0,NA
"2020-10-22",0,0,"other",0,0.25,NA
"2020-10-23",0,0,"b.1.2",0,0.25,NA
"2020-10-23",0,0,"b.1.375",0,0.25,NA
"2020-10-23",1,1,"b.1.517",1,0.25,NA
"2020-10-23",0,0,"other",0,0.25,NA
"2020-10-24",0,0,"b.1.2",0,0.25,NA
"2020-10-24",0,0,"b.1.375",0,0.25,NA
"2020-10-24",0,0,"b.1.517",0,0.25,NA
"2020-10-24",0,0,"other",0,0.25,NA
"2020-10-25",0,0,"b.1.2",0,0.25,NA
"2020-10-25",0,0,"b.1.375",0,0.25,NA
"2020-10-25",0,0,"b.1.517",0,0.25,NA
"2020-10-25",0,0,"other",0,0.25,NA
"2020-10-26",3,2,"b.1.2",0.666666666666667,0.428571428571429,NA
"2020-10-26",3,1,"b.1.375",0.333333333333333,0.285714285714286,NA
"2020-10-26",0,0,"b.1.517",0,0.142857142857143,NA
"2020-10-26",0,0,"other",0,0.142857142857143,NA
"2020-10-27",0,0,"b.1.2",0,0.6,NA
"2020-10-27",0,0,"b.1.375",0,0.2,NA
"2020-10-27",0,0,"b.1.517",0,0.2,NA
"2020-10-27",0,0,"other",0,0,NA
"2020-10-28",0,0,"b.1.2",0,0.5,NA
"2020-10-28",0,0,"b.1.375",0,0.25,NA
"2020-10-28",0,0,"b.1.517",0,0.25,NA
"2020-10-28",0,0,"other",0,0,NA
"2020-10-29",0,0,"b.1.2",0,0.5,NA
"2020-10-29",0,0,"b.1.375",0,0.25,NA
"2020-10-29",0,0,"b.1.517",0,0.25,NA
"2020-10-29",0,0,"other",0,0,NA
"2020-10-30",0,0,"b.1.2",0,0.666666666666667,NA
"2020-10-30",0,0,"b.1.375",0,0.333333333333333,NA
"2020-10-30",0,0,"b.1.517",0,0,NA
"2020-10-30",0,0,"other",0,0,NA
"2020-10-31",0,0,"b.1.2",0,0.666666666666667,NA
"2020-10-31",0,0,"b.1.375",0,0.333333333333333,NA
"2020-10-31",0,0,"b.1.517",0,0,NA
"2020-10-31",0,0,"other",0,0,NA
"2020-11-01",0,0,"b.1.2",0,0.5,NA
"2020-11-01",0,0,"b.1.375",0,0.25,NA
"2020-11-01",0,0,"b.1.517",0,0,NA
"2020-11-01",1,1,"other",1,0.25,NA
"2020-11-02",0,0,"b.1.2",0,0,NA
"2020-11-02",1,1,"b.1.375",1,0.5,NA
"2020-11-02",0,0,"b.1.517",0,0,NA
"2020-11-02",0,0,"other",0,0.5,NA
"2020-11-03",0,0,"b.1.2",0,0,NA
"2020-11-03",1,1,"b.1.375",1,0.666666666666667,NA
"2020-11-03",0,0,"b.1.517",0,0,NA
"2020-11-03",0,0,"other",0,0.333333333333333,NA
"2020-11-04",0,0,"b.1.2",0,0,NA
"2020-11-04",1,1,"b.1.375",1,0.75,NA
"2020-11-04",0,0,"b.1.517",0,0,NA
"2020-11-04",0,0,"other",0,0.25,NA
"2020-11-05",0,0,"b.1.2",0,0,NA
"2020-11-05",2,2,"b.1.375",1,0.833333333333333,NA
"2020-11-05",0,0,"b.1.517",0,0,NA
"2020-11-05",0,0,"other",0,0.166666666666667,NA
"2020-11-06",0,0,"b.1.2",0,0,NA
"2020-11-06",0,0,"b.1.375",0,0.833333333333333,NA
"2020-11-06",0,0,"b.1.517",0,0,NA
"2020-11-06",0,0,"other",0,0.166666666666667,NA
"2020-11-07",0,0,"b.1.2",0,0,NA
"2020-11-07",0,0,"b.1.375",0,0.833333333333333,NA
"2020-11-07",0,0,"b.1.517",0,0,NA
"2020-11-07",0,0,"other",0,0.166666666666667,NA
"2020-11-08",0,0,"b.1.2",0,0,NA
"2020-11-08",0,0,"b.1.375",0,1,NA
"2020-11-08",0,0,"b.1.517",0,0,NA
"2020-11-08",0,0,"other",0,0,NA
"2020-11-09",0,0,"b.1.2",0,0,NA
"2020-11-09",0,0,"b.1.375",0,1,NA
"2020-11-09",0,0,"b.1.517",0,0,NA
"2020-11-09",0,0,"other",0,0,NA
"2020-11-10",2,1,"b.1.2",0.5,0.2,NA
"2020-11-10",2,1,"b.1.375",0.5,0.8,NA
"2020-11-10",0,0,"b.1.517",0,0,NA
"2020-11-10",0,0,"other",0,0,NA
"2020-11-11",0,0,"b.1.2",0,0.25,NA
"2020-11-11",0,0,"b.1.375",0,0.75,NA
"2020-11-11",0,0,"b.1.517",0,0,NA
"2020-11-11",0,0,"other",0,0,NA
"2020-11-12",10,1,"b.1.2",0.1,0.166666666666667,NA
"2020-11-12",0,0,"b.1.375",0,0.0833333333333333,NA
"2020-11-12",0,0,"b.1.517",0,0,NA
"2020-11-12",10,9,"other",0.9,0.75,NA
"2020-11-13",0,0,"b.1.2",0,0.142857142857143,NA
"2020-11-13",2,2,"b.1.375",1,0.214285714285714,NA
"2020-11-13",0,0,"b.1.517",0,0,NA
"2020-11-13",0,0,"other",0,0.642857142857143,NA
"2020-11-14",0,0,"b.1.2",0,0.1,NA
"2020-11-14",6,6,"b.1.375",1,0.45,NA
"2020-11-14",0,0,"b.1.517",0,0,NA
"2020-11-14",0,0,"other",0,0.45,NA
"2020-11-15",0,0,"b.1.2",0,0.0909090909090909,NA
"2020-11-15",2,2,"b.1.375",1,0.5,NA
"2020-11-15",0,0,"b.1.517",0,0,NA
"2020-11-15",0,0,"other",0,0.409090909090909,NA
"2020-11-16",0,0,"b.1.2",0,0.0740740740740741,NA
"2020-11-16",5,3,"b.1.375",0.6,0.518518518518519,NA
"2020-11-16",5,2,"b.1.517",0.4,0.0740740740740741,NA
"2020-11-16",0,0,"other",0,0.333333333333333,NA
"2020-11-17",0,0,"b.1.2",0,0.04,NA
"2020-11-17",0,0,"b.1.375",0,0.52,NA
"2020-11-17",0,0,"b.1.517",0,0.08,NA
"2020-11-17",0,0,"other",0,0.36,NA
"2020-11-18",0,0,"b.1.2",0,0.04,NA
"2020-11-18",0,0,"b.1.375",0,0.52,NA
"2020-11-18",0,0,"b.1.517",0,0.08,NA
"2020-11-18",0,0,"other",0,0.36,NA
"2020-11-19",3,2,"b.1.2",0.666666666666667,0.111111111111111,NA
"2020-11-19",3,1,"b.1.375",0.333333333333333,0.777777777777778,NA
"2020-11-19",0,0,"b.1.517",0,0.111111111111111,NA
"2020-11-19",0,0,"other",0,0,NA
"2020-11-20",0,0,"b.1.2",0,0.117647058823529,NA
"2020-11-20",0,0,"b.1.375",0,0.705882352941177,NA
"2020-11-20",0,0,"b.1.517",0,0.117647058823529,NA
"2020-11-20",1,1,"other",1,0.0588235294117647,NA
"2020-11-21",0,0,"b.1.2",0,0.181818181818182,NA
"2020-11-21",0,0,"b.1.375",0,0.545454545454546,NA
"2020-11-21",0,0,"b.1.517",0,0.181818181818182,NA
"2020-11-21",0,0,"other",0,0.0909090909090909,NA
"2020-11-22",10,10,"b.1.2",1,0.631578947368421,NA
"2020-11-22",0,0,"b.1.375",0,0.210526315789474,NA
"2020-11-22",0,0,"b.1.517",0,0.105263157894737,NA
"2020-11-22",0,0,"other",0,0.0526315789473684,NA
"2020-11-23",5,1,"b.1.2",0.2,0.68421052631579,NA
"2020-11-23",5,2,"b.1.375",0.4,0.157894736842105,NA
"2020-11-23",5,1,"b.1.517",0.2,0.0526315789473684,NA
"2020-11-23",5,1,"other",0.2,0.105263157894737,NA
"2020-11-24",0,0,"b.1.2",0,0.68421052631579,NA
"2020-11-24",0,0,"b.1.375",0,0.157894736842105,NA
"2020-11-24",0,0,"b.1.517",0,0.0526315789473684,NA
"2020-11-24",0,0,"other",0,0.105263157894737,NA
"2020-11-25",0,0,"b.1.2",0,0.619047619047619,NA
"2020-11-25",2,2,"b.1.375",1,0.238095238095238,NA
"2020-11-25",0,0,"b.1.517",0,0.0476190476190476,NA
"2020-11-25",0,0,"other",0,0.0952380952380952,NA
"2020-11-26",0,0,"b.1.2",0,0.611111111111111,NA
"2020-11-26",0,0,"b.1.375",0,0.222222222222222,NA
"2020-11-26",0,0,"b.1.517",0,0.0555555555555556,NA
"2020-11-26",0,0,"other",0,0.111111111111111,NA
"2020-11-27",0,0,"b.1.2",0,0.55,NA
"2020-11-27",3,3,"b.1.375",1,0.35,NA
