,Publication Owner,JIRA Epic #,Base_Project,Status/ImmPort Study ID,Base_Project.1,PMID,PMID_N,PMID_link,Publication_Title,Journal,Author(s),Pub Date,PI,print_type,citation
0,Liu,,CA260581,,CA260581,34613865,PMID_34613865,,Building a better antibody through the Fc: advances and challenges in harnessing antibody Fc effector functions for antiviral protection,Human vaccines &amp; immunotherapeutics,"Bronwyn M Gunn, Shuangyi Bai",,,review,Hum Vaccin Immunother. 2021 Nov 2;17(11):4328-4344.
1,Liu / Mani,,CA260476,,CA260476,35018376,PMID_35018376,,Comprehensive antibody profiling of mRNA vaccination in children,bioRxiv : the preprint server for biology,"Yannic C Bartsch, Kerri J St Denis, Paulina Kaplonek, Jaewon Kang, Evan C Lam, Madeleine D Burns, Eva J Farkas, Jameson P Davis, Brittany P Boribong, Andrea G Edlow, Alessio Fasano, Wayne Shreffler, Dace Zavadska, Marina Johnson, David Goldblatt, Alejandro B Balazs, Lael M Yonker, Galit Alter",,,preprint,bioRxiv. 2022 Jan 4;2021.10.07.463592.
2,Liu / Mani,,CA260476,,CA260476,35018387,PMID_35018387,,Vaccines Elicit Highly Cross-Reactive Cellular Immunity to the SARS-CoV-2 Omicron Variant,medRxiv : the preprint server for health sciences,"Jinyan Liu, Abishek Chandrashekar, Daniel Sellers, Julia Barrett, Michelle Lifton, Katherine McMahan, Michaela Sciacca, Haley VanWyk, Cindy Wu, Jingyou Yu, Ai-Ris Y Collier, Dan H Barouch",,,preprint,medRxiv. 2022 Jan 3;2022.01.02.22268634.
