,Publication Owner,JIRA Epic #,Base_Project,Status/ImmPort Study ID,Base_Project.1,PMID,PMID_N,PMID_link,Publication_Title,Journal,Author(s),Pub Date,PI,print_type,citation
0,Liu,,U54CA260492,,CA260492,34767812,PMID_34767812,,Progression and Resolution of Severe Acute Respiratory Syndrome Coronavirus 2 Infection in Golden Syrian Hamsters,The American journal of pathology,"Kathleen R Mulka, Sarah E Beck, Clarisse V Solis, Andrew L Johanson, Suzanne E Queen, Megan E McCarron, Morgan R Richardson, Ruifeng Zhou, Paula Marinho, Anne Jedlicka, Selena Guerrero-Martin, Erin N Shirk, Alicia M Braxton, Jacqueline Brockhurst, Patrick S Creisher, Santosh Dhakal, Cory F Brayton, Rebecca T Veenhuis, Kelly A Metcalf Pate, Petros C Karakousis, Cynthia A Zahnow, Sabra L Klein, Sanjay K Jain, Patrick M Tarwater, Andrew S Pekosz, Jason S Villano, Joseph L Mankowski, Johns Hopkins COVID-19 Hamster Study Group",2021-11-10,"Klein, Sabra L",,Am J Pathol. 2021 Nov 10;S0002-9440(21)00472-7.
1,Liu,,U54CA260517,,CA260517,34861167,PMID_34861167,,Direct comparison of antibody responses to four SARS-CoV-2 vaccines in Mongolia,Cell host &amp; microbe,"Naranjargal J Dashdorj, Oliver F Wirz, Katharina Röltgen, Emily Haraguchi, Anthony S Buzzanco 3rd, Mamdouh Sibai, Hannah Wang, Jacob A Miller, Daniel Solis, Malaya K Sahoo, Prabhu S Arunachalam, Alexandra S Lee, Mihir M Shah, James Liu, Sumiya Byambabaatar, Purevjargal Bat-Ulzii, Anir Enkhbat, Enkhtuul Batbold, Delgersaikhan Zulkhuu, Byambasuren Ochirsum, Tungalag Khurelsukh, Ganbold Dalantai, Natsagdorj Burged, Uurtsaikh Baatarsuren, Nomin Ariungerel, Odgerel Oidovsambuu, Andreas S Bungert, Zulkhuu Genden, Dahgwahdorj Yagaanbuyant, Altankhuu Mordorj, Bali Pulendran, Sharon Chinthrajah, Kari C Nadeau, Theodore Jardetzky, James L Wilbur, Jacob N Wohlstadter, George B Sigal, Benjamin A Pinsky, Scott D Boyd, Naranbaatar D Dashdorj",2021-12-08,"Boyd, Scott D",,Cell Host Microbe. 2021 Dec 8;29(12):1738-1743.e4.
