,Publication Owner,JIRA Epic #,Base_Project,Status/ImmPort Study ID,Base_Project.1,PMID,PMID_N,PMID_link,Publication_Title,Journal,Author(s),Pub Date,PI,print_type,citation
0,Liu,,CA260517,,CA260517,34314495,PMID_34314495,,The Truth about SARS-CoV-2 Cycle Threshold Values Is Rarely Pure and Never Simple,Clinical chemistry,"Daniel D Rhoads, Benjamin A Pinsky",,BOYD,,Clin Chem. 2021 Dec 30;68(1):16-18.
1,Liu,,CA260517,,CA260517,34605900,PMID_34605900,,SARS-CoV-2 Nucleocapsid Plasma Antigen for Diagnosis and Monitoring of COVID-19,Clinical chemistry,"Hannah Wang, Catherine A Hogan, Michelle Verghese, Daniel Solis, Mamdouh Sibai, ChunHong Huang, Katharina Röltgen, Bryan A Stevens, Fumiko Yamamoto, Malaya K Sahoo, James Zehnder, Scott D Boyd, Benjamin A Pinsky",,BOYD,,Clin Chem. 2021 Dec 30;68(1):204-213.
2,Mani,,CA261277,,CA261277,34910927,PMID_34910927,,Population impact of SARS-CoV-2 variants with enhanced transmissibility and/or partial immune escape,Cell,"Mary Bushman, Rebecca Kahn, Bradford P Taylor, Marc Lipsitch, William P Hanage",,LIPSITCH,,Cell. 2021 Dec 22;184(26):6229-6242.e18.
3,Liu,,CA260563,,CA260563,34931200,PMID_34931200,,Booster of mRNA-1273 Vaccine Reduces SARS-CoV-2 Omicron Escape from Neutralizing Antibodies,medRxiv : the preprint server for health sciences,"Nicole A Doria-Rose, Xiaoying Shen, Stephen D Schmidt, ""Sijy ODell"", Charlene McDanal, Wenhong Feng, Jin Tong, Amanda Eaton, Maha Maglinao, Haili Tang, Robert L Atmar, Kirsten E Lyke, Lingshu Wang, Yi Zhang, Martin R Gaudinski, Walker P Black, Ingelise Gordon, Mercy Guech, Julie E Ledgerwood, John N Misasi, Alicia Widge, Paul C Roberts, John Beigel, Bette Korber, Rolando Pajon, John R Mascola, David C Montefiori",,SANZ,preprint,medRxiv. 2021 Dec 15;2021.12.15.21267805.
4,Mani,,CA260582,,CA260582,34937699,PMID_34937699,,SARS-CoV-2 spreads through cell-to-cell transmission,Proceedings of the National Academy of Sciences of the United States of America,"Cong Zeng, John P Evans, Tiffany King, Yi-Min Zheng, Eugene M Oltz, Sean P J Whelan, Linda J Saif, Mark E Peeples, Shan-Lu Liu",,OLTZ,,Proc Natl Acad Sci U S A. 2022 Jan 4;119(1):e2111400119.
5,Mani,,CA260541,,CA260541,34960674,PMID_34960674,,Limited Impact of Delta Variant's Mutations on the Effectiveness of Neutralization Conferred by Natural Infection or COVID-19 Vaccines in a Latino Population,Viruses,"Carlos A Sariol, Crisanta Serrano-Collazo, Edwin J Ortiz, Petraleigh Pantoja, Lorna Cruz, Teresa Arana, Dianne Atehortua, Christina Pabon-Carrero, Ana M Espino",,SARIOL,,Viruses. 2021 Nov 30;13(12):2405.
6,Mani,,CA260591,,CA260591,34965855,PMID_34965855,,Paradoxical sex-specific patterns of autoantibody response to SARS-CoV-2 infection,Journal of translational medicine,"Yunxian Liu, Joseph E Ebinger, Rowann Mostafa, Petra Budde, Jana Gajewski, Brian Walker, Sandy Joung, Min Wu, Manuel Bräutigam, Franziska Hesping, Elena Rupieper, Ann-Sophie Schubert, Hans-Dieter Zucht, Jonathan Braun, Gil Y Melmed, Kimia Sobhani, Moshe Arditi, Jennifer E Van Eyk, Susan Cheng, Justyna Fert-Bober",,CHENG,preprint,J Transl Med. 2021 Dec 30;19(1):524.
