,Publication Owner,JIRA Epic #,Base_Project,Status/ImmPort Study ID,Base_Project.1,PMID,PMID_N,PMID_link,Publication_Title,Journal,Author(s),Pub Date,PI,print_type,citation
0,Liu,,CA260560,,CA260560,34942634,PMID_34942634,https://pubmed.ncbi.nlm.nih.gov/34942634,Evolution of enhanced innate immune evasion by SARS-CoV-2,Nature,"Lucy G Thorne, Mehdi Bouhaddou, Ann-Kathrin Reuschl, Lorena Zuliani-Alvarez, Ben Polacco, Adrian Pelin, Jyoti Batra, Matthew V X Whelan, Myra Hosmillo, Andrea Fossati, Roberta Ragazzini, Irwin Jungreis, Manisha Ummadi, Ajda Rojc, Jane Turner, Marie L Bischof, Kirsten Obernier, Hannes Braberg, Margaret Soucheray, Alicia Richards, Kuei-Ho Chen, Bhavya Harjai, Danish Memon, Joseph Hiatt, Romel Rosales, Briana L McGovern, Aminu Jahun, Jacqueline M Fabius, Kris White, Ian G Goodfellow, Yasu Takeuchi, Paola Bonfanti, Kevan Shokat, Natalia Jura, Klim Verba, Mahdad Noursadeghi, Pedro Beltrao, Manolis Kellis, Danielle L Swaney, Adolfo García-Sastre, Clare Jolly, Greg J Towers, Nevan J Krogan",,HIRSCH,,Nature. 2022 Feb;602(7897):487-495.
1,Liu,,CA260492,,CA260492,35085183,PMID_35085183,https://pubmed.ncbi.nlm.nih.gov/35085183,Higher Proinflammatory Cytokines Are Associated With Increased Antibody Titer After a Third Dose of SARS-CoV-2 Vaccine in Solid Organ Transplant Recipients,Transplantation,"Andrew H Karaba, Xianming Zhu, Sarah E Benner, Olivia Akinde, Yolanda Eby, Kristy H Wang, Sharada Saraf, Jacqueline M Garonzik-Wang, Sabra L Klein, Justin R Bailey, Andrea L Cox, Joel N Blankson, Christine M Durand, Dorry L Segev, William A Werbel, Aaron A R Tobian",,KLEIN,,Transplantation. 2022 Jan 11.
2,Liu,,CA260517,,CA260517,35148837,PMID_35148837,https://pubmed.ncbi.nlm.nih.gov/35148837,"Immune imprinting, breadth of variant recognition, and germinal center response in human SARS-CoV-2 infection and vaccination",Cell,"Katharina Röltgen, Sandra C A Nielsen, Oscar Silva, Sheren F Younes, Maxim Zaslavsky, Cristina Costales, Fan Yang, Oliver F Wirz, Daniel Solis, Ramona A Hoh, Aihui Wang, Prabhu S Arunachalam, Deana Colburg, Shuchun Zhao, Emily Haraguchi, Alexandra S Lee, Mihir M Shah, Monali Manohar, Iris Chang, Fei Gao, Vamsee Mallajosyula, Chunfeng Li, James Liu, Massa J Shoura, Sayantani B Sindher, Ella Parsons, Naranjargal J Dashdorj, Naranbaatar D Dashdorj, Robert Monroe, Geidy E Serrano, Thomas G Beach, R Sharon Chinthrajah, Gregory W Charville, James L Wilbur, Jacob N Wohlstadter, Mark M Davis, Bali Pulendran, Megan L Troxell, George B Sigal, Yasodha Natkunam, Benjamin A Pinsky, Kari C Nadeau, Scott D Boyd",,BOYD,,Cell. 2022 Jan 25;S0092-8674(22)00076-9.
3,Liu,,CA260560,,CA260560,35150638,PMID_35150638,https://pubmed.ncbi.nlm.nih.gov/35150638,Mutations in SARS-CoV-2 variants of concern link to increased spike cleavage and virus transmission,Cell host &amp; microbe,"Alba Escalera, Ana S Gonzalez-Reiche, Sadaf Aslam, Ignacio Mena, Manon Laporte, Rebecca L Pearl, Andrea Fossati, Raveen Rathnasinghe, Hala Alshammary, Adriana van de Guchte, Keith Farrugia, Yiren Qin, Mehdi Bouhaddou, Thomas Kehrer, Lorena Zuliani-Alvarez, David A Meekins, Velmurugan Balaraman, Chester McDowell, Jürgen A Richt, Goran Bajic, Emilia Mia Sordillo, Marion Dejosez, Thomas P Zwaka, Nevan J Krogan, Viviana Simon, Randy A Albrecht, Harm van Bakel, Adolfo García-Sastre, Teresa Aydillo",,HIRSCH,,Cell Host Microbe. 2022 Jan 21;S1931-3128(22)00042-7.
4,Liu / Mani,,CA260476,,CA260476,35169798,PMID_35169798,https://pubmed.ncbi.nlm.nih.gov/35169798,Vaccine Protection Against the SARS-CoV-2 Omicron Variant in Macaques,bioRxiv : the preprint server for biology,"Abishek Chandrashekar, Jingyou Yu, Katherine McMahan, Catherine Jacob-Dolan, Jinyan Liu, Xuan He, David Hope, Tochi Anioke, Julia Barrett, Benjamin Chung, Nicole P Hachmann, Michelle Lifton, Jessica Miller, Olivia Powers, Michaela Sciacca, Daniel Sellers, Mazuba Siamatu, Nehalee Surve, Haley VanWyk, Huahua Wan, Cindy Wu, Laurent Pessaint, Daniel Valentin, Alex Van Ry, Jeanne Muench, Mona Boursiquot, Anthony Cook, Jason Velasco, Elyse Teow, Adrianus C M Boon, Mehul S Suthar, Neharika Jain, Amanda J Martinot, Mark G Lewis, Hanne Andersen, Dan H Barouch",,BAROUCH,preprint,bioRxiv. 2022 Feb 7;2022.02.06.479285.
5,Liu / Mani,,CA260476,,CA260476,35169817,PMID_35169817,https://pubmed.ncbi.nlm.nih.gov/35169817,Comparable Neutralization of the SARS-CoV-2 Omicron BA.1 and BA.2 Variants,medRxiv : the preprint server for health sciences,"Jingyou Yu, Ai-Ris Y Collier, Marjorie Rowe, Fatima Mardas, John D Ventura, Huahua Wan, Jessica Miller, Olivia Powers, Benjamin Chung, Mazuba Siamatu, Nicole P Hachmann, Nehalee Surve, Felix Nampanya, Abishek Chandrashekar, Dan H Barouch",,BAROUCH,preprint,medRxiv. 2022 Feb 7;2022.02.06.22270533.
6,Mani,,CA260591,,CA260591,35175842,PMID_35175842,https://pubmed.ncbi.nlm.nih.gov/35175842,"A Scientific Imperative as Seen Through a Sharpened Lens: Sex, Gender, and the Cardiovascular Condition",Circulation research,"Natalie A Bello, C Noel Bairey Merz, Susan Cheng",,CHENG,,Circ Res. 2022 Feb 18;130(4):433-435.
