,Column Name,User Defined ID,Name,Description,Manufacturer,Catalog Number,Weblink,Contact
78,,PMID33408181_reagentID-04,Receptor Binding Domain (RBD) | Full Length Spike Trimer,n/a,components from multiple manufacturers,n/a,,
79,,PMID34794169_reagents_not_curated,Reagents not curated,Reagents not curated for this experiment,na,na,,
80,,PMID34794169_reagentID-02,Receptor Binding Domain (RBD),n/a,components from multiple manufacturers,n/a,,
81,,PMID34794169_reagentID-03,Full Length Spike Trimer,n/a,components from multiple manufacturers,n/a,,
82,,PMID34794169_reagentID-04,Full Length Spike Trimer,n/a,components from multiple manufacturers,n/a,,
83,,PMID34794169_reagentID-05,S1 | S2,n/a,components from multiple manufacturers,n/a,,
84,,PMID34835131_reagentID-02,Full Length Spike Trimer | Nucleocapsid | Receptor Binding Domain (RBD) | S2,n/a,components from multiple manufacturers,n/a,,
85,,PMID34835131_reagentID-03,Full Length Spike Trimer | Nucleocapsid | Receptor Binding Domain (RBD) | S2,n/a,components from multiple manufacturers,n/a,,
86,,PMID34523968_reagentID-01,Receptor Binding Domain (RBD) | Full Length Spike Trimer,n/a,components from multiple manufacturers,n/a,,
87,,PMID34523968_reagents_not_curated,Reagents not curated,Reagents not curated for this experiment,na,na,,
88,,PMID33035201_reagents_not_curated,Reagents not curated,Reagents not curated for this experiment,na,na,,
89,,PMID33035201_reagentID-06,Nucleocapsid,n/a,components from multiple manufacturers,n/a,,
90,,PMID33065030_reagents_not_curated,Reagents not curated,Reagents not curated for this experiment,na,na,,
91,,PMID35013325_reagentID-01,Receptor Binding Domain (RBD) | Full Length Spike Trimer,n/a,n/a,n/a,,
92,,PMID35013325_reagentID-02,Full Length Spike Trimer,n/a,n/a,n/a,,
93,,PMID33276369_reagentID-01,Receptor Binding Domain (RBD) | Full Length Spike Trimer,n/a,n/a,n/a,,
94,,PMID34696403_reagentID-01,Receptor Binding Domain (RBD) | S2,FDA EUA,n/a,n/a,,
95,,PMID33571162_reagentID-01,Receptor Binding Domain (RBD),n/a,components from multiple manufacturers,n/a,,
96,,PMID33571162_reagentID-02,Full Length Spike Trimer,n/a,components from multiple manufacturers,n/a,,
97,,PMID33571162_reagentID-03,Full Length Spike Trimer,n/a,components from multiple manufacturers,n/a,,
98,,PMID34260834_reagentID-01,Receptor Binding Domain (RBD),n/a,n/a,n/a,,
99,,PMID34260834_reagentID-02,Receptor Binding Domain (RBD),n/a,n/a,n/a,,
100,,PMID34260834_reagentID-03,Receptor Binding Domain (RBD),n/a,n/a,n/a,,
101,,PMID34353890_reagents_not_curated,Reagents not curated,Reagents not curated for this experiment,na,na,,
102,,PMID34937699_reagents_not_curated,Reagents not curated,Reagents not curated for this experiment,na,na,,
103,,PMID35129576_reagentID-01,Full Length Spike Trimer,n/a,n/a,n/a,,
104,,PMID35129576_reagentID-02,Full Length Spike Trimer,n/a,n/a,n/a,,
105,,PMID34095338_reagentID-01,Receptor Binding Domain (RBD),n/a,n/a,n/a,,
106,,PMID34095338_reagents_not_curated,Reagents not curated,Reagents not curated for this experiment,na,na,,
107,,PMID33743211_reagents_not_curated,Reagents not curated,Reagents not curated for this experiment,na,na,,
108,,PMID35132398_reagents_not_curated,Reagents not curated,Reagents not curated for this experiment,na,na,,
109,,PMID33961839_reagents_not_curated,Reagents not curated,Reagents not curated for this experiment,na,na,,
110,,PMID33961839_reagentID-02,Full Length Spike Trimer,n/a,components from multiple manufacturers,n/a,,
111,,PMID33961839_reagentID-04,Nucleocapsid,n/a,components from multiple manufacturers,n/a,,
112,,PMID34145263_reagentID-03,Full Length Spike Trimer | Receptor Binding Domain (RBD) | N-terminal Domain (NTD),n/a,components from multiple manufacturers,n/a,,
113,,PMID34145263_reagentID-04,Full Length Spike Trimer | Receptor Binding Domain (RBD) | N-terminal Domain (NTD),n/a,components from multiple manufacturers,n/a,,
114,,PMID34145263_reagentID-05,Full Length Spike Trimer | Receptor Binding Domain (RBD) | N-terminal Domain (NTD),n/a,components from multiple manufacturers,n/a,,
115,,PMID34145263_reagentID-06,Full Length Spike Trimer | Receptor Binding Domain (RBD) | N-terminal Domain (NTD),n/a,components from multiple manufacturers,n/a,,
116,,PMID34652783_reagentID-01,Receptor Binding Domain (RBD) | Full Length Spike Trimer,n/a,Milliplex®,32161000,,
117,,PMID34652783_reagentID-02,Receptor Binding Domain (RBD) | Full Length Spike Trimer,n/a,Milliplex®,32161000,,
118,,PMID34652783_reagents_not_curated,Reagents not curated,Reagents not curated for this experiment,na,na,,
119,,PMID34001652_reagentID-01,nucleocapsid | S1 | Receptor Binding Domain (RBD) | N-terminal Domain (NTD),Research Use Only,n/a,n/a,,
120,,PMID34001652_reagentID-02,nucleocapsid | S1 | Receptor Binding Domain (RBD) | N-terminal Domain (NTD),Research Use Only,n/a,n/a,,
121,,PMID33169014_reagents_not_curated,Reagents not curated,Reagents not curated for this experiment,na,na,,
122,,PMID33169014_reagentID-02,Receptor Binding Domain (RBD) | Full Length Spike Trimer | ,n/a,components from multiple manufacturers,n/a,,
123,,PMID33727353_reagents_not_curated,Reagents not curated,Reagents not curated for this experiment,na,na,,
124,,PMID35427477_reagents_not_curated,Reagents not curated,Reagents not curated for this experiment,na,na,,
125,,PMID35427477_reagentID-01,Receptor Binding Domain (RBD) | Full Length Spike Trimer,n/a,components from multiple manufacturers,n/a,,
126,,PMID35427477_reagentID-02,Receptor Binding Domain (RBD) | Full Length Spike Trimer,n/a,components from multiple manufacturers,n/a,,
127,,PMID34952892_reagents_not_curated,Reagents not curated,Reagents not curated for this experiment,na,na,,
128,,PMID34759001_reagentID-01,Receptor Binding Domain (RBD) | S1 | Nucleocapsid,n/a,components from multiple manufacturers,n/a,,
129,,PMID34759001_reagentID-02,Receptor Binding Domain (RBD) | S1 | Nucleocapsid,n/a,components from multiple manufacturers,n/a,,
130,,PMID34759001_reagentID-03,Receptor Binding Domain (RBD) | S1 | Nucleocapsid,n/a,components from multiple manufacturers,n/a,,
131,,PMID34759001_reagentID-04,Receptor Binding Domain (RBD) | S1 | Nucleocapsid,n/a,components from multiple manufacturers,n/a,,
