"","X","date","total_count","lineage_count","lineage","prevalence","prevalence_rolling","term"
"49",7113,"2020-03-31",0,0,"b.1.1",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"50",5960,"2020-04-01",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"51",6611,"2020-04-01",0,0,"b.1",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"52",7114,"2020-04-01",0,0,"b.1.1",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"53",5961,"2020-04-02",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"54",6612,"2020-04-02",0,0,"b.1",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"55",7115,"2020-04-02",0,0,"b.1.1",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"56",5962,"2020-04-03",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"57",6613,"2020-04-03",0,0,"b.1",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"58",7116,"2020-04-03",0,0,"b.1.1",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"59",5963,"2020-04-04",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"60",6614,"2020-04-04",0,0,"b.1",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"61",7117,"2020-04-04",0,0,"b.1.1",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"62",5964,"2020-04-05",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"63",6615,"2020-04-05",0,0,"b.1",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"64",7118,"2020-04-05",0,0,"b.1.1",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"65",5965,"2020-04-06",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"66",6616,"2020-04-06",0,0,"b.1",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"67",7119,"2020-04-06",0,0,"b.1.1",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"68",5966,"2020-04-07",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"69",6617,"2020-04-07",0,0,"b.1",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"70",7120,"2020-04-07",0,0,"b.1.1",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"71",5967,"2020-04-08",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"72",6618,"2020-04-08",0,0,"b.1",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"73",7121,"2020-04-08",0,0,"b.1.1",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"74",5968,"2020-04-09",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"75",6619,"2020-04-09",0,0,"b.1",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"76",7122,"2020-04-09",0,0,"b.1.1",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"77",5969,"2020-04-10",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"78",6620,"2020-04-10",0,0,"b.1",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"79",7123,"2020-04-10",0,0,"b.1.1",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"80",19491,"2020-04-10",1,1,"other",1,1,NA
"81",5970,"2020-04-11",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"82",6621,"2020-04-11",0,0,"b.1",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"83",7124,"2020-04-11",0,0,"b.1.1",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"84",19492,"2020-04-11",0,0,"other",0,1,NA
"85",5971,"2020-04-12",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"86",6622,"2020-04-12",0,0,"b.1",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"87",7125,"2020-04-12",0,0,"b.1.1",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"88",19493,"2020-04-12",0,0,"other",0,1,NA
"89",5972,"2020-04-13",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"90",6623,"2020-04-13",0,0,"b.1",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"91",7126,"2020-04-13",0,0,"b.1.1",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"92",19494,"2020-04-13",0,0,"other",0,1,NA
"93",5973,"2020-04-14",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"94",6624,"2020-04-14",0,0,"b.1",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"95",7127,"2020-04-14",0,0,"b.1.1",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"96",19495,"2020-04-14",0,0,"other",0,1,NA
"97",5974,"2020-04-15",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"98",6625,"2020-04-15",0,0,"b.1",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"99",7128,"2020-04-15",0,0,"b.1.1",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"100",19496,"2020-04-15",0,0,"other",0,1,NA
"101",5975,"2020-04-16",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"102",6626,"2020-04-16",0,0,"b.1",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"103",7129,"2020-04-16",0,0,"b.1.1",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"104",19497,"2020-04-16",0,0,"other",0,1,NA
"105",5976,"2020-04-17",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"106",6627,"2020-04-17",0,0,"b.1",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"107",7130,"2020-04-17",0,0,"b.1.1",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"108",19498,"2020-04-17",0,0,"other",0,0,NA
"109",5977,"2020-04-18",0,0,"b",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
"110",6628,"2020-04-18",0,0,"b.1",0,0,"XBB.1.16* [Omicron (XBB.1.16.X)]"
