,Research Focus,PMID
0,No Research Focus Specified,35915094
1,Infection Response ,33915337
2,Vaccine Response,34047304
3,Infection Response,35877413
4,Infection Response,35632708
5,Infection Response,35092678
6,Immune Response,34706273
7,Immune Response,34253053
8,Vaccine Response,35289114
9,No Research Focus Specified,35795812
