,Column Name,User Defined ID,File Name,Name,Description,Type
0,-,PMID35380510_protocol-01,PMID35380510_protocol-01.txt,PMID35380510_protocol-01,Study Protocol,Study Protocol
1,-,PMID34644239_protocol-01,PMID34644239_protocol-01.txt,PMID34644239_protocol-01,Study Protocol,Study Protocol
2,-,PMID35335012_protocol-01,PMID35335012_protocol-01.txt,PMID35335012_protocol-01,Study Protocol,Study Protocol
3,-,PMID35055463_protocol-01,PMID35055463_protocol-01.txt,PMID35055463_protocol-01,Study Protocol,Study Protocol
4,-,PMID35857583_protocol-01,PMID35857583_protocol-01.txt,PMID35857583_protocol-01,Study Protocol,Study Protocol
5,-,PMID36069925_protocol-01,PMID36069925_protocol-01.txt,PMID36069925_protocol-01,Study Protocol,Study Protocol
6,-,PMID34607452_protocol-01,PMID34607452_protocol-01.txt,PMID34607452_protocol-01,Study Protocol,Study Protocol
